id,loan_amount,instalment,expected_revenue,total_payment,loss
Summary,,,"Total Expected Loss: $28,885,826.94",,
7636276,21600,617.64,37058.4,58.88468630769432,36999.5153136923
7635168,7025,238.98,8603.279999999999,39.39112188912905,8563.888878110869
7629726,18225,699.8,25192.8,56.73594742605864,25136.06405257394
7629473,16000,461.04,27662.4,49.28639513186611,27613.113604868136
7628816,20125,491.55,29493.0,42.334378622837264,29450.665621377164
7628507,30000,847.44,50846.4,38.642225310293895,50807.75777468971
7627526,30000,1080.97,38914.92,70.99945028020002,38843.9205497198
7627459,12000,408.22,14695.920000000002,48.34136178432231,14647.57863821568
7626864,35000,974.64,58478.4,63.38871132187016,58415.01128867813
7625311,4800,167.84,6042.24,39.598138683591216,6002.641861316409
7625249,21250,443.7,26622.0,55.3604249958032,26566.639575004196
7625144,8750,297.66,10715.76,40.44042178313457,10675.319578216866
7624815,13250,376.58,22594.8,46.36079440751218,22548.439205592487
7619759,6000,199.26,7173.36,41.53882457867044,7131.821175421329
7619577,15000,505.34,18192.239999999998,39.2129693956085,18153.02703060439
7618745,8500,316.76,11403.36,45.2728518249804,11358.08714817502
7618428,18250,500.94,30056.4,55.00686499252656,30001.393135007474
7617859,9000,290.37,10453.32,47.22561706825613,10406.094382931744
7616172,17625,629.26,22653.36,62.25034427330525,22591.109655726694
7615890,25000,622.66,37359.6,44.08245288341413,37315.517547116586
7604564,6000,199.26,7173.36,36.12912749070624,7137.2308725092935
7595214,10000,349.65,12587.4,34.5280007850235,12552.871999214976
7594822,4125,150.27,5409.72,37.70071388644187,5372.019286113558
7594570,21200,528.02,31681.199999999997,49.16101424388373,31632.038985756113
7584739,24000,597.76,35865.6,51.265234495534514,35814.33476550446
7574646,20375,514.74,18530.64,55.39860640630662,18475.241393593693
7565015,5375,191.91,6908.76,37.34751884389929,6871.4124811561005
7564949,5500,196.37,7069.32,41.33125685837829,7027.988743141622
7564939,8325,291.09,10479.24,46.48916745826683,10432.750832541733
7535825,27575,686.8,41208.0,62.28243165044623,41145.71756834955
7535377,18000,580.73,20906.28,60.59302061182196,20845.686979388178
7534982,8000,282.05,10153.800000000001,39.69898754220635,10114.101012457795
7524616,20500,697.37,25105.32,62.40549374281251,25042.914506257188
7524587,17475,572.03,20593.079999999998,58.3939149825412,20534.686085017456
7515501,20675,676.78,24364.079999999998,54.814816161276106,24309.26518383872
7515400,16000,571.25,20565.0,30.48959793436315,20534.510402065636
7515206,13000,419.42,15099.12,38.50395555538313,15060.616044444618
7505767,35000,994.73,59683.8,70.25088986103675,59613.54911013896
7505184,16100,401.0,24060.0,45.920540413651686,24014.079459586348
7504931,3500,128.66,4631.76,35.1270978290777,4596.6329021709225
7504691,12250,428.32,15419.52,52.98172504363507,15366.538274956365
7504595,9450,313.84,11298.24,48.48984895919193,11249.750151040807
7496209,28625,690.19,24846.840000000004,63.206321380985365,24783.63367861902
7456873,1000,36.92,1329.1200000000001,23.37788431730386,1305.7421156826963
7456063,4500,147.31,5303.16,26.712594689506272,5276.447405310493
7455944,16000,544.29,19594.44,52.13078358202574,19542.309216417972
7449819,5000,184.6,6645.599999999999,40.4644251724132,6605.135574827586
8845145,30000,1080.97,38914.92,62.56285280940575,38852.35714719059
7449167,26500,1007.94,36285.840000000004,44.26385647450744,36241.5761435255
7449064,18225,493.05,29583.0,38.87740949928007,29544.12259050072
7447586,8000,272.15,9797.4,45.43983597678165,9751.960164023218
7447314,18000,523.07,31384.200000000004,47.6808452264628,31336.51915477354
7446386,22050,750.09,27003.24,55.34708134955724,26947.892918650443
7446299,35000,994.73,59683.8,69.0626654430249,59614.73733455698
7445683,4200,129.63,4666.68,29.46909273448268,4637.210907265518
7441298,16800,592.3,21322.8,48.29992428077238,21274.50007571923
7439062,11200,391.61,14097.960000000001,53.08161505581893,14044.878384944182
7438076,3600,90.95,5457.0,29.403788610460325,5427.596211389539
7436994,26325,642.98,38578.8,60.73316097573122,38518.06683902427
7436912,17550,673.88,24259.68,62.95109204041707,24196.728907959583
7436655,5750,205.29,7390.44,41.26810175090532,7349.171898249094
7436464,15000,417.71,25062.6,54.24921483409894,25008.350785165898
7436393,22250,763.7,27493.2,45.1599773981746,27448.040022601825
7425023,5925,184.64,6647.039999999999,39.78356130210466,6607.256438697895
7389740,18000,511.58,30694.8,58.07852149930856,30636.72147850069
7388706,10625,256.19,15371.4,29.330396796689776,15342.06960320331
7387324,14300,386.87,23212.2,50.312194401688586,23161.88780559831
7386622,25000,714.86,42891.6,36.43023715426409,42855.16976284573
7386409,5000,168.45,6064.2,40.45321517057036,6023.746784829429
7386314,10750,387.35,13944.6,44.24873130858513,13900.351268691415
7383175,9750,338.47,12184.920000000002,42.259630943243295,12142.660369056759
7382919,20050,656.32,23627.52,44.88638842072273,23582.633611579276
7381958,3600,140.11,5043.960000000001,36.79799999026103,5007.16200000974
7381682,17000,529.75,19071.0,51.63925156399298,19019.360748436007
7381672,22875,696.22,25063.920000000002,63.39523186250821,25000.524768137493
7097463,5500,205.27,7389.72,38.220299337309854,7351.49970066269
7381440,7800,278.48,10025.28,40.54461327873273,9984.735386721268
7379086,24000,816.43,29391.48,66.85634317796136,29324.623656822037
7378955,20000,488.49,29309.4,53.45155873906908,29255.94844126093
7377467,33950,890.43,53425.799999999996,45.13476616612914,53380.66523383387
7376490,3525,129.57,4664.5199999999995,29.46428970007923,4635.05571029992
7375391,5075,170.98,6155.28,30.463351247105493,6124.816648752894
7374971,16000,381.48,22888.800000000003,38.812374238329554,22849.987625761674
7371731,14500,412.11,24726.600000000002,48.4968305203469,24678.103169479655
7371114,11450,393.01,14148.36,42.00522555859792,14106.354774441403
7368135,5800,204.49,7361.64,37.33299290295675,7324.307007097043
7367734,6700,241.42,8691.119999999999,37.62766218369711,8653.492337816302
7367648,9000,294.61,10605.960000000001,45.02649248757688,10560.933507512424
7365470,31825,1122.02,40392.72,59.90318591919078,40332.81681408081
7355543,10200,232.03,13921.8,43.74917860537164,13878.050821394627
